Key (Decoded),Value (Decoded)
This saves the following actions that you have currently assigned to a new preset:,This saves the following actions that you have currently assigned to a new preset:
Brush size +,Brush Size +
Other,Other
WACOM_CENTER_REGISTER_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/register-device?wcLang=en&regMethod=%s
Packaging...,Packaging…
Restore,Restore
4001:01:00,Customize how your pen operates
OS13_LEGACY_LINK_MSG,"Wacom Tablet Settings should open now, but due to a problem with macOS 13 you may need to manually open 'Wacom Tablet' in 'System Settings…'."
wacom bridge,Wacom Bridge
WACOM_CENTER_PROFILE_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/profile?wcLang=en
Use Wacom Center to configure Display toggle.,Use Wacom Center to configure Display toggle.
More info,More info
Displays dynamic tablet and tool diagnostics information.,Displays dynamic tablet and tool diagnostics information.
Language,0
4001:71,Rocker Ring settings
Touch firmware:,Touch Firmware:
Overwrite the existing Preset Settings Group item by this name?,Overwrite the existing Preset Settings Group item by this name?
"This feature optimizes your Wacom experience when connected to a remote computer. Your Wacom driver automatically connects to the Wacom driver on the remote system, and your Wacom device settings apply both on your local and remote system.","This feature optimizes your Wacom experience when connected to a remote computer. Your Wacom driver automatically connects to the Wacom driver on the remote system, and your Wacom device settings apply both on your local and remote system."
Create a new preset,Create a new preset
Learn more,Learn more
3001:10:00,Mouse
We've modernized our settings application. From here you can configure all the functionality of your Wacom devices as well as access your Wacom ID benefits.,We've modernized our settings application. From here you can configure all the functionality of your Wacom devices as well as access your Wacom ID benefits.
Display toggle is recommended for multi-screen setups.,Display toggle is recommended for multi-screen setups.
Import settings from your %s.,Import settings from your %s.
4001:20:00,Customize the ExpressKeys functions
Include or exclude this display in the Display toggle cycle.,Include or exclude this display in the Display toggle cycle.
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/product-videos?wcLang=en&regMethod=%s&feedback=true
3090:03:00,Three
Nudging,Nudging
Standard,Standard
Import settings,Import settings
4001:121,User Help
Toggle Last State,Toggle Last State
Selective,Selective
Scroll,Scroll
Change Display Settings,Change Display Settings
Click lock,Click lock
Rotation:,Rotation:
3001:07:00,All Open
Control the speed of this Dial mode.,Control the speed of this Dial mode.
this feature is available for select remote computing systems. it is subject to wacom's commercial agreements with the remote system provider and remote system specific licensing and/or subscription requirements.,This feature is available for select remote computing systems. It is subject to Wacom's commercial agreements with the remote system provider and remote system specific licensing and/or subscription requirements.
WACOM_CENTER_REGISTER_WEBVIEW,https://www.wacom.com/wacom-center/register-device?wcLang=en&regMethod=%s
Adjusting display settings,Adjusting display settings
"Step 2 - Use the ExpressKeys on either side to select ""Display Settings"", navigate menus, and select options.","Step 2 - Use the ExpressKeys on either side to select ""Display Settings"", navigate menus, and select options."
Use as a scroll wheel with optional modifier keys.,Use as a scroll wheel with optional modifier keys.
Spread,Spread
Output,Output
Simple touch control,Simple touch control
3110:03:00,Switch to power saving mode: %d minutes
Name your backup,Name your backup
Test area,Test area
Driver update,Driver update
"Customize touch gestures, or limit touch input to On-screen shortcut menus.","Customize touch gestures, or limit touch input to On-screen shortcut menus."
Confirm,Confirm
"Make sure your Wacom product is connected to your computer, then start the check.","Make sure your Wacom product is connected to your computer, then start the check."
High,High
Tablet buttons and Touch keys,Tablet buttons and Touch keys
Dials,Dials
Show/hide all panels except toolbar,Show/hide all panels except toolbar
"Scroll or zoom, depending on the application.","Scroll or zoom, depending on the application."
Create from current,Create from current
4001:101,Important Product Information
"Customize 3-, 4-, and 5-finger touch gestures.","Customize 3-, 4-, and 5-finger touch gestures."
Up,Up
Brush tool,Brush tool
Go back one page.,Go back one page.
Photoshop Colorist,Photoshop Colorist
Rename,Rename
all wacom bridge licenses are in use. contact your wacom bridge administrator to obtain more licenses for your company.,All Wacom Bridge licenses are in use. Contact your Wacom Bridge administrator to obtain more licenses for your company.
Register my device,Register my device
5th click,5th click
Driver Info:,Driver Info:
Power & Menu,Power & Menu
3001:11:00,Pen
Firm,Firm
Finger 2,Finger 2
4001:21:00,ExpressKey settings
Settings for your %s have been applied.,Settings for your %s have been applied.
Keyboard shortcut,Keyboard shortcut
"Assign Display toggle to a button, touch gesture, or On-screen shortcut to use it.","Assign Display toggle to a button, touch gesture, or On-screen shortcut to use it."
1380:01:00,Landscape
Adjust the alignment between the pen and screen cursor.,Adjust the alignment between the pen and screen cursor.
Slow,Slow
Wacom,Wacom
The tablet driver is not responding.,The tablet driver is not responding.
Access the settings for your %s.,Access the settings for your %s.
2. Press and hold the Power/Bluetooth button until the light starts blinking and the tablet is in pairing mode.,2. Press and hold the Power/Bluetooth button until the light starts blinking and the tablet is in pairing mode.
Pan/Scroll (legacy)...,Pan/Scroll (Legacy)…
Model:,Model:
the wacom bridge license has expired. contact your wacom bridge administrator to update the license for your company and/or your wacom driver version.,The Wacom Bridge license has expired. Contact your Wacom Bridge administrator to update the license for your company and/or your Wacom driver version.
Forward,Forward
"Assign Display toggle to a button, gesture or On-screen shortcut to use it.","Assign Display toggle to a button, gesture or On-screen shortcut to use it."
Horizontal wheel,Horizontal wheel
Orientation:,Orientation:
Connected via USB,Connected via USB
Using the Touch keys,Using the Touch keys
Bonus Pack,Bonus Pack
Pen pressure,Pen pressure
Swipe up,Swipe up
licensing & subscription information,Licensing & Subscription Information
Brush tools,Brush tools
Downloading updates,Downloading updates
Adjust brightness and color settings for the display.,Adjust brightness and color settings for the display.
4001:160,Mapping setup
Double click,Double click
Tip-up assist,Tip-up assist
All applications,All applications
"""Display toggle"" recommended","""Display toggle"" recommended"
4001:131,Connect via Bluetooth
A collection of videos to help you get started and learn more about your device.,A collection of videos to help you get started and learn more about your device.
Name,Name
"Errors found. To resolve the errors, try the following:","Errors found. To resolve the errors, try the following:"
"for up-to-date details about functionality and licenses or subscription requirements for your remote system, or to sign up for email updates about this service, visit the wacom webpage at https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge or by selecting more info.","For up-to-date details about functionality and licenses or subscription requirements for your remote system, or to sign up for email updates about this service, visit the Wacom webpage at https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge or by selecting More Info."
"The Touch ring can be used to Scroll, Rotate, Zoom, and more.","The Touch ring can be used to Scroll, Rotate, Zoom, and more."
Pan/Scroll...,Pan/Scroll…
Fast,Fast
Touch setup,Touch setup
