Key (Decoded),Value (Decoded)
This saves the following actions that you have currently assigned to a new preset:,新しいプリセットに割り当てられている以下の操作を保存できます：
Brush size +,ブラシ サイズ +
Other,その他
WACOM_CENTER_REGISTER_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/register-device?wcLang=ja&regMethod=%s
Packaging...,パッケージ化を実行中…
Restore,復元
4001:01:00,ペンの動作をカスタマイズします
OS13_LEGACY_LINK_MSG,ワコム タブレット が開くはずですが、macOS 13 の問題により、[システム環境設定…] で [ワコム タブレット] を手動で開く必要がある場合があります。
wacom bridge,Wacom Bridge
WACOM_CENTER_PROFILE_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/profile?wcLang=ja
Use Wacom Center to configure Display toggle.,ワコムセンターを使用してマッピング画面切り替えを設定します。
More info,詳細情報
Displays dynamic tablet and tool diagnostics information.,ペンタブレットやツールの診断画面を動的に表示します。
Language,6
4001:71,リングキー設定
Touch firmware:,タッチファームウェア:
Overwrite the existing Preset Settings Group item by this name?,この名前で現在あるプリセットの設定グループを上書きしますか？
"This feature optimizes your Wacom experience when connected to a remote computer. Your Wacom driver automatically connects to the Wacom driver on the remote system, and your Wacom device settings apply both on your local and remote system.",この機能は、リモートコンピュータに接続した時に、ワコムのペン体験を最適化できます。 ワコムドライバーは、リモートシステム上のワコムドライバーに自動的に接続されます。ワコム製品のデバイスの設定は、ローカルシステムとリモートシステムの両方で適用されます。
Create a new preset,新規プリセットを作成
Learn more,詳細を見る
3001:10:00,マウス
We've modernized our settings application. From here you can configure all the functionality of your Wacom devices as well as access your Wacom ID benefits.,設定アプリケーションが新しくなりました。このアプリではワコムデバイスの機能の設定がを行ったり、Wacom ID登録の特典がお使いいただけます。
Display toggle is recommended for multi-screen setups.,マルチスクリーン設定にはマッピング画面切り替えをお勧めします。
Import settings from your %s.,設定をお使いの%sからインポートします。
4001:20:00,ExpressKeyの機能を設定します
Include or exclude this display in the Display toggle cycle.,Include or exclude this display in the Display toggle cycle.
