pid,registry_name,registry_parser,registry_maxX,registry_maxY,registry_maxP,registry_confidence,kernel_name,kernel_maxX,kernel_maxY,kernel_maxP,kernel_type,otd_name,otd_maxX,otd_maxY,otd_maxP,otd_parser,verdict,notes
0x0003,PenPartner,graphire,5040,3780,255,experimental,Wacom Cintiq Partner,20480,15360,511,PTU,Wacom PTU-600U,20480,15360,511,PTUReportParser,kernel_disagrees,registry differs from BOTH kernel AND OTD: kernel maxX=20480 (registry 5040); kernel maxY=15360 (registry 3780); kernel maxP=511 (registry 255)
0x0004,Graphire,graphire,10206,7422,511,experimental,,,,,,,,,,,unknown,neither kernel nor OTD has this PID
0x0010,Graphire,graphire,10206,7422,511,experimental,Wacom Graphire,10206,7422,511,GRAPHIRE,Wacom ET-0405-U,10208,7424,511,SkipByteTabletReportParser,otd_disagrees,OTD maxX=10208 (registry 10206); OTD maxY=7424 (registry 7422)
0x0011,Graphire 2 (4×5),graphire,10206,7422,511,experimental,Wacom Graphire2 4x5,10206,7422,511,GRAPHIRE,Wacom ET-0405A-U,10208,7424,511,WacomDriverIntuosReportParser,otd_disagrees,OTD maxX=10208 (registry 10206); OTD maxY=7424 (registry 7422); OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x0012,Graphire 2 (5×7),graphire,13918,10206,511,experimental,Wacom Graphire2 5x7,13918,10206,511,GRAPHIRE,,,,,,agree,kernel agrees; OTD has no entry
0x0013,Graphire 3 (4×5),graphire,10208,7424,511,experimental,Wacom Graphire3,10208,7424,511,GRAPHIRE,Wacom CTE-430,10208,7424,511,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x0014,Graphire 3 (6×8),graphire,16704,12064,511,experimental,Wacom Graphire3 6x8,16704,12064,511,GRAPHIRE,Wacom CTE-630,16704,12064,511,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x0015,Graphire 4 (4×5),graphire,10208,7424,511,experimental,Wacom Graphire4 4x5,10208,7424,511,WACOM_G4,Wacom CTE-440,10208,7424,511,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x0016,Graphire 4 (6×8),graphire,16704,12064,511,experimental,Wacom Graphire4 6x8,16704,12064,511,WACOM_G4,Wacom CTE-640,16704,12064,511,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x0017,Bamboo Fun (MTE-450),graphire,14760,9225,511,experimental,Wacom BambooFun 4x5,14760,9225,511,WACOM_MO,Wacom CTE-450,14760,9225,511,BambooReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=bamboo (OTD class BambooReportParser)
0x0060,Volito,graphire,5104,3712,511,experimental,Wacom Volito,5104,3712,511,GRAPHIRE,Wacom FT-0405-U,5104,3712,511,WacomDriverIntuosReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=intuosV1 (OTD class WacomDriverIntuosReportParser)
0x0061,PenStation,graphire,3540,2468,511,experimental,Wacom PenStation2,3250,2320,255,GRAPHIRE,,,,,,kernel_disagrees,kernel maxX=3250 (registry 3540); kernel maxY=2320 (registry 2468); kernel maxP=255 (registry 511)
0x0062,Volito 2,graphire,5104,3712,511,experimental,Wacom Volito2 4x5,5104,3712,511,GRAPHIRE,,,,,,agree,kernel agrees; OTD has no entry
0x0065,Bamboo One (CTF-430),graphire,14760,9225,511,experimental,Wacom Bamboo,14760,9225,511,WACOM_MO,Wacom MTE-450,14760,9225,511,BambooReportParser,cross_referenced,kernel + OTD both agree with registry; OTD parser=bamboo (OTD class BambooReportParser)
0x003F,Cintiq 21UX (DTZ-2100),graphire,87200,65600,1023,experimental,Wacom Cintiq 21UX,87200,65600,1023,CINTIQ,,,,,,agree,kernel agrees; OTD has no entry; kernel parser=cintiqV1 (kernel type CINTIQ)
0x0020,Intuos 4×5,intuosV1,12700,10600,1023,experimental,Wacom Intuos 4x5,12700,10600,1023,INTUOS,Wacom GD-0405-U,25400,21200,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=25400 (registry 12700); OTD maxY=21200 (registry 10600); OTD maxP=2046 (registry 1023)
0x0021,Intuos 6×8,intuosV1,20320,16240,1023,experimental,Wacom Intuos 6x8,20320,16240,1023,INTUOS,Wacom GD-0608-U,40640,32480,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=40640 (registry 20320); OTD maxY=32480 (registry 16240); OTD maxP=2046 (registry 1023)
0x0022,Intuos 9×12,intuosV1,30480,24060,1023,experimental,Wacom Intuos 9x12,30480,24060,1023,INTUOS,Wacom GD-0912-U,60960,48120,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=60960 (registry 30480); OTD maxY=48120 (registry 24060); OTD maxP=2046 (registry 1023)
0x0023,Intuos 12×12,intuosV1,30480,31680,1023,experimental,Wacom Intuos 12x12,30480,31680,1023,INTUOS,Wacom GD-1212-U,60960,63360,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=60960 (registry 30480); OTD maxY=63360 (registry 31680); OTD maxP=2046 (registry 1023)
0x0024,Intuos 12×18,intuosV1,45720,31680,1023,experimental,Wacom Intuos 12x18,45720,31680,1023,INTUOS,Wacom GD-1218-U,91440,63360,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=91440 (registry 45720); OTD maxY=63360 (registry 31680); OTD maxP=2046 (registry 1023)
0x0041,Intuos 2 (4×5),intuosV1,12700,10600,1023,experimental,Wacom Intuos2 4x5,12700,10600,1023,INTUOS,Wacom XD-0405-U,25400,21200,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=25400 (registry 12700); OTD maxY=21200 (registry 10600); OTD maxP=2046 (registry 1023)
